previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(116) [T] Just watch mine.
(116) [T] Alright, um, I'm hearing from the same three people.
(116) [T] They have three or four people every time.
(116) [T] Hopefully, Miss kaylea and miss J you're getting some answers too.
(116) [T] all right I'm pulling a stick.
(116) [T] Marlowe.
(116) [T] What kind of number has exactly two factors one in itself?",Can you repeat that again?,117,"(118) [T] Absolutely.
(118) [T] I can.
(118) [T] Thanks for asking so politely.
(118) [T] A number that has exactly two factors one and itself is called a blank number.
(119) [S] composter I think
(120) [T] well composite has more than two factors.
(120) [T] We already used that word.",0,0
"(35) [S] Half of eight.
(35) [S] Wait a minute.
(35) [S] I did this for the last one.
(37) [S] Six.
(38) [S] Half of six equals three.
(39) [S] One, two, three, four, five, six, seven, eight, nine, ten, eleven.
(40) [S] That equals eleven rods.",Times two is twenty-two.,41,"(42) [T] That’s for how many rods?
(43) [S] Huh?
(44) [T] Go ahead, go ahead.
(44) [T] Keep going.
(45) [S] Minus two is twenty.
(46) [T] That is for how many steps?
(47) [S] Six.",1,1
"(122) [T] Reduce it Jen.
(123) [S] I- I got one and one-third.
(124) [T] That's correct.
(124) [T] Aubrey you were correct, you just needed to reduce it.
(124) [T] Okay?
(124) [T] Questions one through five?
(124) [T] John?",Number two.,125,"(126) [T] What did you get for your first set of parentheses?
(127) [S] Point one three four five.
(128) [T] Did you copy it correctly?
(129) [S] No.
(130) [T] Okay.
(130) [T] Make sure you do that John.
(130) [T] Brandon?",0,0
"(42) [T] Today math is fraction-of problems.
(42) [T] These are called fraction-of.
(42) [T] If I said to you, what is 1/2 of 10 what would you tell me?
(43) [S] Five.
(44) [T] What?
(45) [S] Five.
(46) [T] Just five?",No.,47,"(48) [T] What is 1/2 of 12?
(49) [S] Six.
(50) [T] What is 1/2 of 14?
(51) [S] Meagan.
(52) [T] You already sort of know how to solve fraction-of problems.
(52) [T] That's what that means; blank of something else.
(52) [T] We are going to figure out some connections here to multiplying fractions.",0,0
"(nan) [T] Could be. 
(nan) [T] Could be all kinds of things.
(nan) [S] I got it.
(nan) [S] You’re the one who started it.
(nan) [T] Are you ready to explain that to the camera?
(nan) [S] Well, we have to make sure it works, sixteen and sixteen is thirty two. 
(nan) [S] It does work, but sixty-three.",What about us?,,"(nan) [T] Do you want to say it to the camera or do you want to say it to everybody.
(nan) [S] Camera.
(nan) [S] Okay.
(nan) [T] OK, that’s the wrong thing this is better. 
(nan) [T] That’s the right one. 
(nan) [T] Maybe you’ve got it all written.
(nan) [T] OK, here’s the microphone.",0,0
"(14) [S] I agree.
(15) [T] You agree?
(16) [S] Yeah, because see if the brown and the yellow and green  they're equal and they're both  called one, and four of the reds  equal up to one, therefore that they’d have to be fourths,  because there are four parts, they're fourths.
(17) [T] Would you raise your hands if you agree with the argument  that Sarah and Audra and Erik gave us?
(17) [T] Up high, so I can  tell.
(17) [T] Now, there are some hands that aren't up; does that  mean that you disagree or you’re not sure?
(17) [T] Brian?",We disagree.,17,"(18) [T] Nice and loud, Brian.
(18) [S] We thought the um, the two, we called that one half.
(19) [T] Okay, we’re talking about when we call it [the train] one.
(19) [T] You’re talking about the other.
(19) [T] You agree that when we call  it one, that this is a fourth?
(19) [S] Yes
(20) [T] Okay, now the second part you disagree.",0,1
"(137) [S] One, two,  three, four.
(138) [S] And it's the same, and it's gotta be a - the light green's  smaller,
(139) [S] Hmmm…Hold it, look at this.
(139) [S] Two browns, which would  equal up to ten, wouldn't it?
(140) [S] No.
(141) [S] Yes, two down from uh, the uh brown.
(141) [S] So this is ten, twelve.",Half of twelve would be six.,141,"(141) [S] We need something that, these  are four each.
(142) [S] Those are six.
(143) [S] Right, now all we need to do is divide twelve.
(144) [S] It's not twelve, it's not twelve, that is a, that's a, two down  from ten would be eight.
(144) [S] Eight, twelve,
(145) [S] Twenty-two.
(145) [S] That's twenty-two",1,1
"(616) [T] Yes, I know.
(617) [T] Meanwhile, how far did you get?
(617) [T] You made exercise one, 15 and 20 in the meantime.
(618) [S] No, I am, I am already beyond that.
(619) [T] You are beyond that?
(619) [T] You've even gotten as far as 36 by now?
(620) [S] I will at some point.",Let me see.,621,"(622) [T] Just put it away for the time being.
(622) [T] Really people, put your French away for now.
(622) [T] I mean now.
(623) [T] Um, let me see.
(623) [T] Steffi?
(623) [T] Why don't you just get to work.
(624) [T] Laurie, just get to work.",0,0
"(36) [T] Looking at my second number, 62, who can tell me the two numbers I need to put together to make the number 62?
(36) [T] Hunter?
(37) [S] 60 and two.
(38) [T] 60 and two, beautiful, you are correct.
(38) [T] Now let's go to Hadley's side.
(38) [T] Who can tell Hadley what two numbers she's going to need to put together to make her two numbers?
(38) [T] Donna?",30 and 6?,39,"(40) [T] Look at her number.
(41) [S] Oh... .
(42) [T] Uh huh, it's a nine and a six, 96.
(43) [S] 90 and six?
(44) [T] Very good, so she's going to need a 90 in her first spot and a six in her second spot.
(44) [T] Okay, guys, the game is ready.
(44) [T] We're now ready to wrestle and whose coming up with the largest number.",1,0
"(nan) [S] I’ve got them all.
(nan) [S] We got everyone.
(nan) [S] We got every single one.
(nan) [T] Hum, nobody has found another number for this or another number for this or another number for this or another number for this and as Ankur says there could be a very good reason for that.
(nan) [T] There might not be another number for those.
(nan) [S] So then why did you put two spaces?
(nan) [S] Maybe there is.",Maybe there isn’t.,,"(nan) [S] Why can’t he tell us the correct answer?
(nan) [S] Yeah until we figure it out.
(nan) [S] You just waste our time, you are just wasting it. 
(nan) [S] We are just rotting until someone comes along and POW its all over.
(nan) [T] Yeah.
(nan) [T] Okay. 
(nan) [T] Anybody get any numbers for these missing ones? ",0,1
