previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(32) [T] You got it.
(32) [T] So, this 20 + B tells us where that's going to start.
(32) [T] All right.
(32) [T] Any other questions about the two cell phone companies?
(33) [T] Oh, up here?
(34) [T] Up this one?
(35) [S] We can't find our paper.",Thank you.,36,"(37) [S] We've looked everywhere.
(38) [T] Wow.
(38) [T] Oh, sorry .
(38) [T] Thank you.
(38) [T] Really, it was like Serena said, more than a thousand texts right here at the point of intersection.
(38) [T] Verizon is a better deal.
(38) [T] It's cheaper at AT&T when you send fewer texts because AT&T does not have that upfront cost, that $20.",0,0
"(84) [T] Make sure you remember this.
(85) [T] We are not going to do every assignment of question 37, because that one was also requested.
(85) [T] Not all of them, but a couple of examples.
(86) [T] I think that question B is actually a- a good example.
(87) [T] Tim?
(88) [S] Yes.
(89) [T] Where do I have to fill in these two parts?","Below the, uh...",90,"(91) [T] Why don't you- just point it out in your notebook, then I know- What, no tables?
(91) [T] Wait a minute.
(92) [S] No, I tried without any.
(93) [T] What have you got?
(94) [T] You have only the final results.
(94) [T] Right?
(95) [S] Yes.",0,0
"(241) [T] One little step.
(241) [T] Remember how one little step can mess this up?
(241) [T] What is our common denominator?
(242) [S] 10
(243) [T] 10
(243) [T] Does this look familiar so far?
(243) [T] Let's do our new-- Let's write out our new fractions, 9 and what?",6 and 1/3.,244,"(245) [T] Then 3 and?
(245) [T] where a lot of you messed up.
(245) [T] I cannot subtract four from five, so what do I need to do?
(245) [T] Borrow.
(245) [T] Now I have to add what to four?
(246) [S] 10
(247) [T] Because remember, that's our what?",0,0
"(nan) [S] See, Brian do‐Brian’s doesn’t make sense.
(nan) [S] That does make sense. 
(nan) [S] It does make sense‐
(nan) [S] Put one at the beginning, and‐
(nan) [S] ‐but what if there’s‐
(nan) [S] And all the other numbers. 
(nan) [S] Put two at the beginning and all the other numbers.","Yeah, that’s the hard way to do it though.",,"(nan) [S] Easy.
(nan) [S] You know, and you have to put the one, and then add one, two, three, four, five, six, and then it’s two, and then add one, two, three, four, five, six, and then add three, one, two, three, four, five, six, and then so on‐
(nan) [T] Um, how many‐how many do you get that way, Matt?
(nan) [S] Thirty‐six.
(nan) [T] How do you get thirty‐six? 
(nan) [T] Can you tell?
(nan) [T] I’m‐I’m not convinced.",0,1
"(31) [T] And it worked?
(32) [S] Yeah.
(33) [T] Very nice.
(33) [T] Brian, let's hear what you have  here.
(34) [S] I got the answer, but I don't know how to say  it… explain it really.
(35) [T] Well do you want to try?
(35) [T] It's a good chance  to practice talking to me.","Well, I just found out, five, I don't know, I  can't find out why.",36,"(36) [S] I think, well, five times  ten equals fifty, so …
(37) [T] Does that have something to do with it?
(37) [T] Why  times ten?
(37) [T] Why are you telling me five times  ten?
(37) [T] That's interesting.
(38) [S] Well, well because there are ten of them here and… hm, I'm not sure, I'm not  sure.
(38) [S] Before I said one fiftieth, but I think,  Dave explained something to me and I  thought, I guess I just thought it was right.",0,0
"(205) [S] Yes.
(206) [T] Oh, so how much did he eat?
(206) [T] Is that what you are asking?
(206) [T] Awesome, yes because we are doing?
(207) [S] Seven  3/24.
(208) [T] Yes, so that works.
(208) [T] He didn't eat very much pie, did he?",Someone earned $8 by mowing the lawn and then they bought candy with 2/3 of their money.,209,"(210) [T] What's the question?
(210) [T] What's the question?
(211) [S] How much money did he spend?
(212) [T] Yes.
(212) [T] What do you guys think?
(212) [T] Andrew, does that work?
(213) [S] No, too much",0,0
"(17) [T] How do you know, that triangle is right-angled?
(18) [T] Specify there, in which one you'd like to work with the problem.
(18) [T] One of them, whichever you choose.
(19) [T] So, how do you explain or how do you convince us, that this triangle-
(20) [S] Because the diagonals are perpendicular to each other.
(21) [T] So, you didn't say that before, yes that's correct.
(22) [T] So, Marcela, speak out loud so everybody knows what you're writing on the board.",Plus (inaudible) divided by two.,23,"(24) [T] Yes.
(25) [S] A is equal to the second root of 12 divided by two and square the whole formula, plus seven divided by two and square the second formula.
(26) [T] So, when you substitute.
(27) [S] A is equal to second root of six square.
(28) [T] Uh huh.
(29) [S] Plus (inaudible), plus three point five.
(30) [T] Yes.",1,0
"(478) [S] Minus three.
(479) [T] Okay, you should always begin with?
(480) [S] Uh, Y equals five.
(481) [T] Yes, but why five?
(482) [S] Well, because that is the starting number.
(483) [T] We always put that at the end.
(483) [T] You've also put it at the end over here.","No, because four is the starting number.",484,"(485) [T] Ooh.
(485) [T] Yes, it is the wrong way around.
(486) [S] But you just said that it was correct.
(487) [T] Yes, that was silly of me, I didn't see that.
(487) [T] No, I was looking upside down and therefore didn't see it well.
(488) [T] No, the- the- the starting number is always the independent variable that is written at the end.
(489) [S] This is what I drew, how I-",1,1
"(194) [S] Like everything 6.
(195) [S] Okay, this is where we go in parentheses.
(195) [S] We do 6…  Michelle But it depends on how many you like stack in a row.
(195) [S] Like if  you put 3, it’s going to be different than 4.
(196) [S] Okay here’s what’s going on.
(196) [S] You do in parentheses 6 times  4 plus 2 in parentheses and go on that side, number all the  rods.
(196) [S] Like that would be just the unknown.",What?,197.0,"(198) [S] Never, never mind.
(198) [S] Okay.
(198) [S] Okay.
(198) [S] See that thing?
(198) [S] We’re  finding, find the surface area.
(198) [S] It would be 6 times 4.
(199) [S] Why 4?",0,1
"(658) [S] So, if it's five less than a number would it be five subtract X?
(659) [T] No.
(659) [T] Because this is the number.
(659) [T] X is the number so it has to be the other way.
(660) [S] Oh.
(661) [S] So it up here it would be 15 more than... how do I- So it would be X plus 15?
(662) [T] Just make sure you put it in absolute value of the box.","Oh, so that's good.",663,"(663) [S] So fifteen's got to be in the box?
(664) [T] Yeah- no, the number does.
(665) [S] What number?
(666) [T] Any va- any variable that you use.
(667) [S] Oh, so it would be, uh, the box, then X, then plus 15?
(668) [T] Yes.
(668) [T] Yes.",0,0
"(160) [T] You guys just said this.
(160) [T] When I said where does it cross the y-axis, you said never, right?
(161) [T] Then when we said, ""What is the vertical asymptote?""
(161) [T] you said it's x=0, which is the y-axis, so those two things confirm each other, right?
(161) [T] It must have been doing something like that where it never crosses the y-axis.
(161) [T] The vertical asymptote is at x=0.
(161) [T] You guys going to do it okay?","Yes, sir.",162,"(163) [T] Sir?
(163) [T] Wow.
(163) [T] Is evertyhing good?
(164) [T] What does that mean?
(165) [T] That's .
(165) [T] The vertical asymptote is x=0.
(165) [T] That's the y-axis.",0,0
"(513) [T] For example, four, one became... grew to... so the only thing I would add here was I would change this, ""to,"" to, ""grew to,"" or, ""became.""
(513) [T] Okay?
(513) [T] That's it.
(513) [T] Good job.
(513) [T] Here's your pencil.
(514) [T] Ronnie!
(514) [T] Ronnie.",Did you say wider and taller?,515,"(516) [T] Wider and taller.
(517) [S] I said, ""I think-
(518) [T] Wider and taller.
(518) [T] Perfect.
(518) [T] So you're good, buddy.
(519) [T] Do you need a charger?
(519) [T] Let me see your Chromebook real quick.",0,0
"(29) [S] What?
(29) [S] That doesn't make sense!
(30) [S] How do you spell division?
(30) [S] D-I-V-I-S-I-O-N,  something like that.
(31) [S] No, you're not taking away when you divide
(32) [T] Are we taking away when you divide?
(32) [T] That's  a good question.","No, you're doing subtraT2ion.",33,"(34) [S] No, see.
(34) [S] Do we have a pen?
(34) [T] Do you have a  pen in that desk?
(35) [T] How is it related to subtraT2ion, Michael?
(36) [S] See, look
(37) [T] It would be, I would, it would be
(38) [T] I would agree with you that it is related Michael",1,1
"(12) [S] I use it sometimes.
(12) [S] Some of them have peloton
(13) [T] The peloton thing is a big deal right now, huh?
(14) [T] That's cool, we can .
(14) [T] Let's go.
(14) [T] So a treadmill is something inside and it's just like a moving walkway and you can just walk on it.
(14) [T] And you can incline it so it can go from flat to, it can go to more at an angle, more steep",Do you run on it?,15,"(16) [T] You can walk, you can run, you can do all kinds of things.
(16) [T] So we're going to look at some treadmill data.
(16) [T] So says, "" and each ran on a treadmill.
(16) [T] The treadmill display shows the distance in miles each person ran and the amount of time it took them in minutes and seconds.
(16) [T] So the first one we're going to look at is Mai's display.
(16) [T] You also have this in front of you.
(16) [T] We're going to annotate this so we know what each of these numbers mean.",0,0
"(198) [S] Okay.
(198) [S] See that thing?
(198) [S] We’re  finding, find the surface area.
(198) [S] It would be 6 times 4.
(199) [S] Why 4?
(199) [S] Where’s the 4 from?
(200) [S] [Motions levels] Four times.",Plus 2.,200.0,"(200) [S] All that would be in  parentheses.
(200) [S] All of that, put it like that.
(200) [S] [Romina: 26] And  outside would be number of rods.
(200) [S] 30:00 Romina Length times 4 plus 2.
(200) [S] Isn’t that what you’re trying to say?
(201) [S] Yeah.
(201) [S] Times number of rods.",1,1
"(nan) [S] You.
(nan) [S] Seven is roll again.
(nan) [S] Seven.
(nan) [S] Ten‐
(nan) [S] Ten is you.
(nan) [S] Is me.
(nan) [S] Oh, sc‐I‐",Nine is‐,,"(nan) [S] You.
(nan) [S] Me.
(nan) [S] Seven ‘s gonna beat me.
(nan) [S] Seven.
(nan) [S] Seven ‘s beating me.
(nan) [S] Yeah, this is a probability chart.
(nan) [S] I know, the one.",0,1
"(11) [S] The first answer we had was four.
(12) [T] Could you show me David's fourteen Lego blocks sweetie?
(12) [T] Can you show me?
(nan) [T] Can you make a tower for me?
(13) [S] Fourteen,  and here's his five.
(14) [T] Here we have a comparison, so how many more does David  have?
(14) [T] Can you count?","One, two, three, four, five, six, seven, eight , nine.",15,"(16) [T] Does everyone in the group agree.
(16) [T] Aaron is that what you  have?
(16) [T] Is that how you made your comparison?
(16) [T] Can you  count them for us?
(16) [T] Nice and loud.
(18) [T] Fourteen take away five equals nine, is that how you solved  it Aaron?
(18) [S] He wrote it on a piece of paper.",0,0
