student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
Five choose three.,"[T] So what's four choose two plus four choose three?
[S] Four choose two plus four choose three? 
[S] That would be, that would be five.
[S] Oh, five.
[S] Five choose.","[S] Yeah.
[S] Right? 
[S] Yeah.
[S] Yeah.
[T] I don't know if Romina's convinced.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
I agree with him.,"[T] All right. Okay, so I want to hear what some of our thoughts were. For question B, what does that point zero months three inches mean for a typical meerkat's height? Matt?
[S] Okay, so it means it's like when they haven't reached one month yet, they're like a couple of days old, or they're like two weeks old.
[T] Okay, so that's their height, you're saying, that that's their height before even a month old. Maybe, they could be a couple of days maybe they could be newborns, maybe a couple of weeks. When they are first born they are how tall?
[S] Three inches.
[T] Three inches. Michael, what do you think about what Matt said?","[S] Why?
[S] Because my chart says the same thing and technically at zero months it's not that specific. Two days to two weeks.
[T] Now, how tall do you think a typical meerkat gets, question C? Allie?
[S] Hi. Okay, so  I think it's 12 inches because first of all in this video, it says they get to 12 inches, and then second of all, they look 12 inches because they look like the size of a ruler.
[T] Is there any information from your graph that can help you think that?",TalkBack.Year1.Levy.Spring.012420.xlsx,2 - Relating to Another Student
Yeah but like I'm just saying like if she were  to pick anything like right there we could say  it's like eight A's and like six B's. You know  like- and then we could tell you where you it is  in  this one.,"[S] You could say, um-
[S] Do you understand what I'm saying?
[S] Like yeah, these are like this row is everything  with perimeter two. I mean I half the  perimeter, like.
[S] Well no I'm saying so to get that-
[S] In order to get to that point you have to go  over one and down, uh, one or down one and  over one. [Pointing to the intersection point †  (2,1).] Just like that row. Everything in this  row, over two and down two and over one.","[S] Well you could say all- everything in this row,  the shortest route is two. Everything in this  row shortest route is three. This one shortest  route is four.
[S] Yeah.
[S] The shortest route is five, six and so on. So  that's how you could, you know, name them. This is row six because it has everything in the  row has shortest route of six.
[S] No, I understand. I'm just saying like-
[S] There's a, you know-",Video Mosaic 12th grade taxicab.xlsx,5 - Providing Evidence/Explaining Reasoning
I still don't know how it works.,"[S] On the digit after the value to the right.
[T] You look at the place value to the right.
[S] That is if it's five more you bring to a four, but if it's four or resting, then--
[T] Let it rest.
[S] Yes.","[T] What?
[S] I'm still confused.
[T] Don't be confused, sit up and try that. Sit up. It is a six because the place value to the right is close, makes that number-- Look at this. This is how we do it..
[S] I understand that.
[T] Okay, all right, then you shouldn't talk to me that way. Okay, round to the nearest hundredth. Same number round it to the nearest hundredth. Tricky, huh?",TalkBack.Year1.Gibson.Spring.012720.xlsx,3 - Asking for More Information
Because three times three is nine.,"[S] For one meter, and like, like, what I was saying, like thirty  three and it would be somewhere arond there
[T] Right, but now I have three meters of ribbon.
[S] Three meters? Oh, three, nine
[T] So why don't you talk - nine? You agree? Laura?
[S] Yeah [Laura nods] because three times three is nine","[T] Ok, James?
[S] Um, Andrew [inaudible] um we think um it's nine and  there's nine in three meter sticks.
[T] Ok.
[S] That’s what we think.
[T] Ok, and you could persuade us, everybody, that that’s the  case?",Ribbons 2_Grade 4.xlsx,5 - Providing Evidence/Explaining Reasoning
You still need to find an answer.,"[S] Because you don't have-- You didn't write on the board what 3/5 of 35 is.
[T] I didn't write on the board what 3/5--
[S] You haven't counted to 3/5. You need to put .
[S] skip counting by sevens in the column in the rows underneath, so 7, 14, 21, 28, 35.
[T] I'm going to draw what Maggie did, because it's kind of cool.","[T] 7, 14, 21-- Her strategy will help us get to the answer a little quicker. We took the whole, we made it into five parts. How many of those five parts do we need to put together?
[S] Three.
[T] Three. We could skip count by 7, 14, 21, or we could it like Maggie did and write it below. What is 3/5 of 21? No, what is 3/5 of 35?
[S] 21
[T] 21 Awesome. You guys feeling ready to try another tape diagram problem? What questions do you have before we move to the next problem? Any questions at Jeremiah's table? Eileen, what's your question?",TalkBack.Year1.Rossi.Spring.012720.xlsx,2 - Relating to Another Student
The denominator.,"[T] Do you like this picture?
[S] Yeah.
[T] Okay. So, that clearly shows that what they ate was  did you agree with the number sentence that they used?
[S] No, it's
[T] Okay. So, tell me more. What don't you like about it?","[T] The denominator, you don't like the denominator?
[S] subtract  from the denominator
[T] So, Logan, do you have something?
[S] Yes, why would you choose subtraction when you have addition and multiplication?
[T] Anybody have an answer to that? What do you think Anna?",TalkBack.Year2.Gibson.Spring.041221-1.xlsx,2 - Relating to Another Student
What was it with e? ,"[T] I'm really curious. 
[T] Feel free to use the board and show me and tell me.
[S] Well.
[T] But I don't know what went on.
[S] When, when we came up with that thing that almost was like the Pascal's Triangle. ","[S] What were we doing?
[S] It was, um
[S] Ten, ten percent of a hundred.
[S] Is that what it was?
[S] Yeah.",Video Mosiac 11th grade Pascal 1.xlsx,3 - Asking for More Information
So it's the same thing.,"[S] Okay.
[T] Great.
[S] Where is this key on my pocket calculator?
[S] Oh, it is fine, right?
[T] Here. Only yours doesn't have an X below. And this is your root.","[T] Yes. This is your root.
[S] Okay. Yes.
[T] Was it clear for you guys?
[S] Yes.
[T] Yes? Very good.",Math NL2 transcript.xlsx,4 - Making a Claim
Do we go from zero?,"[T] Excellent. So then what am I doing each time?
[S] You're trying to get closer to the treasure.
[T] Changing what?
[S] The coordinates.
[T] The coordinates. Yes. Ma'am.","[T] To find out what to do next, click the help button.
[T] You've got to guess.
[S] So it's just a guessing game, sort of?
[T] It's a guessing game. Figuring out the coordinates. So if I-
[S] The first one is a guess and then you've got to figure out",TalkBack.Year2.Strathom.Spring.022321.xlsx,4 - Making a Claim
